hexid,url,name,author,platform,arch,language,difficulty,has_unique_flag,flag,no_flag_reason,verifier_recovered,verifier_safety,verifier_interface,verifier_self_test_pass,obfuscation_classes,antidebug_methods,packers,controlflow_methods,antidisasm_methods,crypto_methods,encryption_methods,label_confidence
5ab77f5533c5d40ad448c268,https://crackmes.one/crackme/5ab77f5533c5d40ad448c268,juno by j,crackmes.de,Windows,x86,C/C++,3.0,False,,keygen_algorithmic,partial,safe,name+serial,True,,,,,,,,high
5ab77f5c33c5d40ad448c642,https://crackmes.one/crackme/5ab77f5c33c5d40ad448c642,somecrypto01 by san01suke,crackmes.de,Windows,x86,C/C++,1.0,False,,keygen_algorithmic,,,,,Anti-tamper / integrity; Crypto / hash algorithm; Self-modifying / runtime decrypt; String / data encryption,,,,,CRC32,Substitution / table,high
5ab77f5c33c5d40ad448c667,https://crackmes.one/crackme/5ab77f5c33c5d40ad448c667,j444 by josamont,crackmes.de,Unix/linux etc.,x86,Assembler,1.0,True,247356,n_a,,,,,,,,,,,,high
6804f9718f555589f3530d92,https://crackmes.one/crackme/6804f9718f555589f3530d92,Find CTF in license checker,Bibilmeshka,Windows,x86-64,C/C++,2.3076923076923075,True,CTF{this_is_secret_k3y},n_a,full,safe,name+serial,True,,,,,,,,high
61a0f51433c5d413767c9bd6,https://crackmes.one/crackme/61a0f51433c5d413767c9bd6,cm002,JCWasmx86,Unix/linux etc.,x86-64,C/C++,3.5,False,,any_input_matches_pattern,,,,,Self-modifying / runtime decrypt,,,,,,,high
5ab77f5433c5d40ad448c1c9,https://crackmes.one/crackme/5ab77f5433c5d40ad448c1c9,lite_crack by mjesun,crackmes.de,Windows,x86,Assembler,5.0,True,Ci.3Kj+WL~@St,n_a,,,,,Anti-tamper / integrity; Self-modifying / runtime decrypt; String / data encryption,,,,,,XOR,high
5ab77f5933c5d40ad448c49f,https://crackmes.one/crackme/5ab77f5933c5d40ad448c49f,mazie by harlequin,crackmes.de,Unspecified/other,x86,Unspecified/other,4.0,True,JYMKDRIFTZKWPENSBVGCXOVALQHU,n_a,,,,,,,,,,,,medium
5ab77f5a33c5d40ad448c51a,https://crackmes.one/crackme/5ab77f5a33c5d40ad448c51a,keygenme_2 by bukobg,crackmes.de,Windows 2000/XP only,x86,C/C++,3.0,False,,keygen_algorithmic,full,safe,name+serial,False,Anti-debugging,,,,,,,high
5ab77f6433c5d40ad448cb07,https://crackmes.one/crackme/5ab77f6433c5d40ad448cb07,pwnme by a_k_47,crackmes.de,Windows,x86,C/C++,3.0,False,,multiple_valid_answers,,,,,,,,,,,,high
698a6214fb46458f1ef6cef5,https://crackmes.one/crackme/698a6214fb46458f1ef6cef5,simple crackme,marco007,Unix/linux etc.,x86-64,C/C++,1.3333333333333333,True,FLAG{CIPHER_ENCRYPTION},n_a,full,safe,name+serial,True,String / data encryption,,,,,,XOR,high
5ab77f6333c5d40ad448ca40,https://crackmes.one/crackme/5ab77f6333c5d40ad448ca40,bug_crypto_crackme by black_eye,crackmes.de,Windows,x86,C/C++,5.0,False,,keygen_algorithmic,partial,safe,name+serial,True,Crypto / hash algorithm; Packer; String / data encryption,,FSG,,,MD5; RC4; RSA,RC4,high
5ab77f5f33c5d40ad448c7a9,https://crackmes.one/crackme/5ab77f5f33c5d40ad448c7a9,diablo2oo2039s_crackme_04 by diablo2oo2,crackmes.de,Unspecified/other,x86,Unspecified/other,5.0,False,,keygen_algorithmic,,,,,Self-modifying / runtime decrypt; String / data encryption,,,,,,XOR,high
5ab77f6333c5d40ad448ca59,https://crackmes.one/crackme/5ab77f6333c5d40ad448ca59,puzzle1___in_the_beginning by cronos,crackmes.de,Unspecified/other,x86,Unspecified/other,1.0,False,,keygen_algorithmic,full,safe,name+serial,True,Packer; Self-modifying / runtime decrypt,,UPX,,,,,high
607062fe33c5d44899821de0,https://crackmes.one/crackme/607062fe33c5d44899821de0,insane password checker,thereddev,Windows,x86,C/C++,3.4285714285714284,False,,keygen_algorithmic,,,,,,,,,,,,high
5ab77f6033c5d40ad448c86e,https://crackmes.one/crackme/5ab77f6033c5d40ad448c86e,d31_keyme1_by_d31ph3r by del86,crackmes.de,Windows,x86,Assembler,2.0,False,,keygen_algorithmic,full,safe,name+serial,True,Anti-debugging; Self-modifying / runtime decrypt,IsDebuggerPresent,,,,,,high
5ab77f5e33c5d40ad448c73a,https://crackmes.one/crackme/5ab77f5e33c5d40ad448c73a,android_crackme04 by deurus,crackmes.de,Unspecified/other,java,Unspecified/other,3.0,False,,keygen_algorithmic,partial,safe,name+serial,False,,,,,,,,high
5ab77f6333c5d40ad448ca2a,https://crackmes.one/crackme/5ab77f6333c5d40ad448ca2a,virulent by drakenza,crackmes.de,Windows,x86,C/C++,4.0,False,,keygen_algorithmic,partial,safe,name+serial,True,,,,,,,,high
5ab77f5b33c5d40ad448c5c1,https://crackmes.one/crackme/5ab77f5b33c5d40ad448c5c1,keygenme_5 by t.0.r.n.a.d.0,crackmes.de,Windows,x86,.NET,4.0,False,,keygen_algorithmic,,,,,,,,,,,,high
5ab77f6033c5d40ad448c866,https://crackmes.one/crackme/5ab77f6033c5d40ad448c866,qhq_crkmi_no1 by qhqcrker,crackmes.de,Unspecified/other,x86,Unspecified/other,2.0,False,,keygen_algorithmic,partial,safe,name+serial,False,,,,,,,,high
66f60dc79b533b4c22bd07b9,https://crackmes.one/crackme/66f60dc79b533b4c22bd07b9,my first crackme,kvfs,Windows,x86-64,C/C++,2.6,False,,keygen_algorithmic,,,,,String / data encryption,,,,,,,high
5ab77f5833c5d40ad448c396,https://crackmes.one/crackme/5ab77f5833c5d40ad448c396,crackme_1_by_dip22e by dip22e,crackmes.de,Windows,x86,Assembler,1.0,False,,keygen_algorithmic,full,safe,name+serial,True,Anti-debugging,IsDebuggerPresent; PEB BeingDebugged / NtGlobalFlag,,,,,,high
686adf4aaadb6eeafb399072,https://crackmes.one/crackme/686adf4aaadb6eeafb399072,guess the key(s),mirunaf,Multiplatform,x86-64,C/C++,2.0,False,,any_input_matches_pattern,,,,,,,,,,,,high
6848a6712b84be7ea77437b0,https://crackmes.one/crackme/6848a6712b84be7ea77437b0,easy crack me by lerta,lerta,Windows,x86-64,C/C++,3.6666666666666665,True,kotakbass,n_a,,,,,,,,,,,,high
6490994f33c5d43938913a00,https://crackmes.one/crackme/6490994f33c5d43938913a00,timotei crackme#8,timotei_,Windows,x86,Assembler,2.5,False,,multiple_valid_answers,,,,,,,,,,,,medium
5f04664033c5d42a7c667915,https://crackmes.one/crackme/5f04664033c5d42a7c667915,Tester009's Keygenme#2,Tester009,Windows,x86,Assembler,5.0,False,,keygen_algorithmic,,,,,Anti-debugging; Control-flow obfuscation,Exception-based (SEH/VEH/INT2D),,State machine / dispatcher,,,,high
